ts,id,T,P
-0.745,BARO0,44.22,98654
-0.735,BARO0,44.22,98669
-0.725,BARO0,44.22,98670
-0.715,BARO0,44.23,98663
-0.705,BARO0,44.23,98653
-0.695,BARO0,44.22,98671
-0.685,BARO0,44.22,98661
-0.675,BARO0,44.22,98652
-0.665,BARO0,44.23,98648
-0.655,BARO0,44.22,98654
-0.645,BARO0,44.23,98667
-0.635,BARO0,44.23,98646
-0.625,BARO0,44.23,98668
-0.615,BARO0,44.23,98653
-0.605,BARO0,44.22,98645
-0.595,BARO0,44.23,98648
-0.585,BARO0,44.21,98643
-0.575,BARO0,44.22,98655
-0.565,BARO0,44.22,98655
-0.555,BARO0,44.23,98654
-0.545,BARO0,44.22,98666
-0.535,BARO0,44.22,98660
-0.525,BARO0,44.22,98659
-0.515,BARO0,44.23,98662
-0.505,BARO0,44.22,98659
-0.495,BARO0,44.22,98667
-0.485,BARO0,44.22,98664
-0.475,BARO0,44.24,98658
-0.465,BARO0,44.23,98661
-0.455,BARO0,44.23,98654
-0.445,BARO0,44.22,98661
-0.435,BARO0,44.23,98653
-0.425,BARO0,44.23,98656
-0.415,BARO0,44.22,98648
-0.405,BARO0,44.2,98647
-0.395,BARO0,44.22,98670
-0.385,BARO0,44.24,98649
-0.375,BARO0,44.22,98671
-0.365,BARO0,44.22,98660
-0.355,BARO0,44.22,98662
-0.345,BARO0,44.22,98647
-0.335,BARO0,44.23,98678
-0.325,BARO0,44.22,98670
-0.315,BARO0,44.22,98674
-0.305,BARO0,44.23,98664
-0.295,BARO0,44.22,98654
-0.285,BARO0,44.22,98634
-0.275,BARO0,44.21,98654
-0.265,BARO0,44.23,98670
-0.255,BARO0,44.23,98661
-0.245,BARO0,44.21,98648
-0.235,BARO0,44.22,98644
-0.225,BARO0,44.23,98660
-0.215,BARO0,44.21,98655
-0.205,BARO0,44.23,98656
-0.195,BARO0,44.23,98654
-0.185,BARO0,44.23,98659
-0.175,BARO0,44.22,98652
-0.165,BARO0,44.22,98691
-0.155,BARO0,44.23,98670
-0.145,BARO0,44.22,98675
-0.135,BARO0,44.22,98664
-0.125,BARO0,44.22,98655
-0.115,BARO0,44.22,98658
-0.105,BARO0,44.23,98649
-0.095,BARO0,44.22,98647
-0.085,BARO0,44.23,98669
-0.075,BARO0,44.22,98652
-0.065,BARO0,44.21,98650
-0.055,BARO0,44.23,98650
-0.045,BARO0,44.23,98635
-0.035,BARO0,44.22,98657
-0.025,BARO0,44.22,98645
-0.015,BARO0,44.22,98646
-0.005,BARO0,44.21,98647
0.005,BARO0,44.23,98652
0.015,BARO0,44.23,98653
0.025,BARO0,44.24,98663
0.035,BARO0,44.23,98651
0.045,BARO0,44.22,98644
0.055,BARO0,44.22,98637
0.065,BARO0,44.22,98640
0.075,BARO0,44.22,98621
0.085,BARO0,44.22,98630
0.095,BARO0,44.23,98641
0.105,BARO0,44.22,98641
0.115,BARO0,44.23,98626
0.125,BARO0,44.24,98661
0.135,BARO0,44.23,98622
0.145,BARO0,44.23,98611
0.155,BARO0,44.22,98630
0.165,BARO0,44.22,98639
0.175,BARO0,44.22,98649
0.185,BARO0,44.22,98625
0.195,BARO0,44.22,98631
0.205,BARO0,44.24,98620
0.215,BARO0,44.23,98598
0.225,BARO0,44.25,98630
0.235,BARO0,44.22,98604
0.245,BARO0,44.24,98614
0.255,BARO0,44.22,98615
0.265,BARO0,44.22,98602
0.275,BARO0,44.22,98612
0.285,BARO0,44.23,98617
0.295,BARO0,44.23,98619
0.305,BARO0,44.21,98605
0.315,BARO0,44.23,98605
0.365,BARO0,44.22,98584
0.375,BARO0,44.22,98589
0.385,BARO0,44.23,98552
0.395,BARO0,44.21,98579
0.405,BARO0,44.23,98597
0.415,BARO0,44.22,98578
0.425,BARO0,44.23,98564
0.435,BARO0,44.23,98574
0.445,BARO0,44.22,98564
0.455,BARO0,44.23,98564
0.465,BARO0,44.23,98592
0.475,BARO0,44.23,98555
0.485,BARO0,44.24,98564
0.495,BARO0,44.21,98549
0.505,BARO0,44.23,98579
0.515,BARO0,44.22,98545
0.525,BARO0,44.23,98558
0.535,BARO0,44.22,98554
0.545,BARO0,44.23,98548
0.555,BARO0,44.23,98551
0.565,BARO0,44.22,98550
0.575,BARO0,44.23,98541
0.585,BARO0,44.23,98541
0.595,BARO0,44.22,98541
