ts,q0_estimated,q1_estimated,q2_estimated,q3_estimated
-0.75,-1.521,-9.877,0.356,0.011
-0.74,-1.521,-9.877,0.356,0.011
-0.73,-1.521,-9.877,0.356,0.011
-0.72,-1.522,-9.877,0.356,0.011
-0.71,-1.522,-9.877,0.356,0.011
-0.7,-1.522,-9.876,0.356,0.011
-0.69,-1.522,-9.876,0.356,0.011
-0.68,-1.523,-9.876,0.356,0.011
-0.67,-1.523,-9.876,0.356,0.011
-0.66,-1.523,-9.876,0.356,0.011
-0.65,-1.524,-9.876,0.356,0.011
-0.64,-1.524,-9.876,0.356,0.011
-0.63,-1.524,-9.876,0.356,0.011
-0.62,-1.524,-9.876,0.356,0.011
-0.61,-1.525,-9.876,0.356,0.011
-0.6,-1.525,-9.876,0.356,0.01
-0.59,-1.525,-9.876,0.356,0.01
-0.58,-1.526,-9.876,0.356,0.01
-0.57,-1.526,-9.876,0.356,0.01
-0.56,-1.526,-9.876,0.356,0.01
-0.55,-1.526,-9.876,0.356,0.01
-0.54,-1.527,-9.876,0.356,0.01
-0.53,-1.527,-9.876,0.356,0.01
-0.52,-1.527,-9.876,0.356,0.01
-0.51,-1.528,-9.876,0.356,0.01
-0.5,-1.528,-9.876,0.356,0.01
-0.49,-1.528,-9.876,0.356,0.01
-0.48,-1.529,-9.875,0.356,0.01
-0.47,-1.529,-9.875,0.356,0.01
-0.46,-1.529,-9.875,0.356,0.01
-0.45,-1.529,-9.875,0.356,0.01
-0.44,-1.53,-9.875,0.356,0.01
-0.43,-1.53,-9.875,0.356,0.01
-0.42,-1.53,-9.875,0.356,0.01
-0.41,-1.531,-9.875,0.356,0.01
-0.4,-1.531,-9.875,0.356,0.01
-0.39,-1.531,-9.875,0.356,0.01
-0.38,-1.532,-9.875,0.356,0.01
-0.37,-1.532,-9.875,0.356,0.01
-0.36,-1.532,-9.875,0.356,0.01
-0.35,-1.532,-9.875,0.356,0.01
-0.34,-1.533,-9.875,0.356,0.009
-0.33,-1.533,-9.875,0.356,0.009
-0.32,-1.533,-9.875,0.356,0.009
-0.31,-1.534,-9.875,0.356,0.01
-0.3,-1.534,-9.875,0.356,0.01
-0.29,-1.534,-9.875,0.356,0.009
-0.28,-1.535,-9.875,0.356,0.009
-0.27,-1.535,-9.875,0.356,0.01
-0.26,-1.535,-9.874,0.356,0.01
-0.25,-1.535,-9.874,0.356,0.01
-0.24,-1.536,-9.874,0.356,0.009
-0.23,-1.536,-9.874,0.356,0.009
-0.22,-1.536,-9.874,0.356,0.009
-0.21,-1.537,-9.874,0.356,0.009
-0.2,-1.537,-9.874,0.356,0.009
-0.19,-1.537,-9.874,0.356,0.009
