height,pressure,temperature,wind_u,wind_v
142.0,100000.0,281.75,9.797175e-17,-0.4
351.0,97500.0,280.35587,7.614385e-17,-0.31088084
410.0,96803.1015625,280.25848,9.797175e-17,-0.4
490.0,95864.2890625,280.6085,-0.6000004,-0.29999936
530.0,95398.53125,280.7085,-1.0,-6.123234e-17
564.0,95000.0,280.46817,-1.2903229,0.21505216
590.0,94702.828125,280.4085,-1.4000001,0.8999999
783.0645141601562,92500.0,278.9102,-0.8411595,0.3511644
1006.9218139648438,90000.0,277.35217,-0.39199692,0.48727363
1470.0,85000.0,274.2362,0.5063295,0.7594934
