ZEIT,PRESS_FILTER,HEIGHT_FILTER,PRESS RAW [hpa],HEIGHT RAW [m],ACCEL,SPEED,EVENT,EVENT,VOLT. CHANNEL,VOLTAGE [V]
0.005,99750.3671875,20.3507385253906,99750,20.3817901611328,0,0,0,RAMPE,2,0.498830428325195
0.01,99750.234375,20.3619384765625,99743,20.9719085693359,0,0,0,RAMPE,3,10.9235861176025
0.015,99750.1953125,20.364990234375,99748,20.5503234863281,0.5886,0,0,RAMPE,4,10.9235861176025
0.02,99750.1015625,20.3731384277344,99745,20.8033752441406,0.5886,0,0,RAMPE,5,0
0.025,99750.1640625,20.3680419921875,99754,20.0442199707031,0,0,0,RAMPE,1,12.1688783803125
0.03,99750.1328125,20.3705902099609,99748,20.5503234863281,0,0,0,RAMPE,2,0.498830428325195
0.035,99750.2890625,20.3573455810547,99759,19.6231842041016,1.2753,0,0,RAMPE,3,10.9235861176025
0.04,99750.0703125,20.3756866455078,99738,21.3935241699219,0.5886,0,0,RAMPE,4,10.9235861176025
0.045,99749.9375,20.3868865966797,99743,20.9719085693359,-0.5886,0,0,RAMPE,5,0
0.05,99750.0078125,20.3807678222656,99754,20.0442199707031,0.5886,0,0,RAMPE,1,12.1688783803125
0.055,99749.9765625,20.3838195800781,99748,20.5503234863281,1.2753,0,0,RAMPE,2,0.498830428325195
0.06,99750.078125,20.3751678466797,99756,19.8757019042969,0,0,0,RAMPE,3,10.9235861176025
0.065,99750.2421875,20.3614196777344,99759,19.6231842041016,-1.8639,0,0,RAMPE,4,10.9235861176025
0.07,99750.15625,20.3685455322266,99745,20.8033752441406,2.4525,0,0,RAMPE,5,0
0.075,99750.0625,20.3761901855469,99745,20.8033752441406,0.5886,0,0,RAMPE,1,12.1720211691504
0.08,99749.9375,20.3868865966797,99743,20.9719085693359,2.4525,0,0,RAMPE,2,0.501497970722656
0.085,99750.0078125,20.3807678222656,99754,20.0442199707031,-3.7278,0,0,RAMPE,3,10.9235861176025
0.09,99749.9765625,20.3838195800781,99748,20.5503234863281,1.2753,0,0,RAMPE,4,10.9235861176025
0.095,99750.046875,20.3777160644531,99754,20.0442199707031,0.5886,0,0,RAMPE,5,0
0.1,99750.1171875,20.3716125488281,99754,20.0442199707031,1.8639,0,0,RAMPE,1,12.1720211691504
0.105,99750.0859375,20.3746643066406,99748,20.5503234863281,1.2753,0,0,RAMPE,2,0.504165513120117
0.11,99750.2421875,20.3614196777344,99759,19.6231842041016,-3.0411,0,0,RAMPE,3,10.9235861176025
