# 27deg (Up to date)
# 1847 data points written for 2 variables.
# Simulation warnings:
#   No recovery device defined in the simulation.
#   Body calculations may not be entirely accurate at supersonic speeds.
#
# Mach number (​),Drag coefficient (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.007,0.64
0.008,0.622
# Event LIFTOFF occurred at t=0.03 seconds
0.009,0.602
0.011,0.585
0.013,0.569
0.014,0.556
0.016,0.545
0.018,0.535
0.02,0.526
0.022,0.518
0.024,0.511
0.026,0.504
0.028,0.498
0.03,0.493
0.032,0.488
0.034,0.483
0.036,0.479
0.038,0.475
0.041,0.471
0.043,0.468
0.045,0.464
0.047,0.461
0.049,0.458
0.051,0.455
0.053,0.453
0.055,0.45
0.057,0.448
0.059,0.445
0.061,0.443
0.064,0.441
0.066,0.439
0.068,0.437
0.07,0.435
0.072,0.433
0.074,0.431
0.076,0.43
0.078,0.428
0.081,0.426
0.083,0.425
0.085,0.423
0.087,0.422
0.089,0.421
0.091,0.419
0.093,0.418
0.095,0.417
0.097,0.415
0.1,0.414
0.102,0.413
0.104,0.412
0.106,0.411
0.108,0.41
0.11,0.409
0.112,0.408
0.114,0.407
0.117,0.406
# Event LAUNCHROD occurred at t=0.56 seconds
0.119,0.405
0.122,0.403
0.127,0.401
0.134,0.398
0.144,0.394
0.155,0.391
0.166,0.388
0.177,0.385
0.188,0.382
0.198,0.38
0.209,0.377
0.22,0.375
0.231,0.373
0.242,0.371
0.253,0.37
0.264,0.368
0.275,0.366
0.286,0.365
0.296,0.364
0.307,0.363
0.319,0.361
0.329,0.36
0.341,0.359
0.352,0.359
0.363,0.358
0.374,0.357
0.385,0.356
0.396,0.356
0.407,0.355
0.418,0.354
0.429,0.354
0.441,0.353
0.452,0.353
0.463,0.353
0.474,0.352
0.485,0.352
0.497,0.352
0.508,0.352
0.519,0.352
0.53,0.352
0.541,0.352
0.553,0.352
0.564,0.352
0.575,0.352
0.586,0.352
0.598,0.352
0.609,0.352
0.62,0.353
0.632,0.353
0.643,0.353
0.654,0.354
0.665,0.354
0.677,0.355
0.688,0.355
0.699,0.356
0.711,0.356
0.722,0.357
0.733,0.358
0.744,0.359
0.756,0.36
0.767,0.361
0.778,0.362
0.79,0.363
0.801,0.364
0.812,0.365
0.823,0.366
0.835,0.368
0.846,0.37
0.857,0.371
0.868,0.373
0.879,0.375
0.891,0.378
0.902,0.38
0.913,0.381
0.924,0.383
0.935,0.384
0.946,0.385
0.957,0.387
0.968,0.389
0.979,0.391
0.99,0.393
1.001,0.395
1.012,0.399
1.023,0.403
1.034,0.407
1.044,0.411
1.055,0.414
1.066,0.415
1.077,0.416
1.087,0.417
1.098,0.418
1.108,0.418
1.119,0.418
1.13,0.417
1.14,0.417
1.151,0.416
1.161,0.416
1.172,0.415
1.182,0.415
1.193,0.415
1.203,0.414
1.213,0.413
1.224,0.412
1.234,0.411
1.245,0.41
1.255,0.41
1.266,0.409
1.276,0.408
