Scalar,Scalar
0.000000,0.000000
0.005003,0.001608
0.010005,0.004823
0.020010,0.014471
0.030015,0.030554
0.040021,0.053074
0.140072,0.632996
0.240124,1.859937
0.340176,3.736735
0.440227,6.266160
0.582487,10.991475
0.584652,11.073840
0.586818,11.156513
0.591149,11.322476
0.595480,11.489673
0.599811,11.658105
0.629685,12.853499
0.659559,14.107695
0.689433,15.420754
0.719307,16.792734
0.764984,19.004536
0.810662,21.354378
0.856339,23.842398
0.902017,26.468695
0.957659,29.854838
1.013301,33.446260
1.068944,37.242846
1.124586,41.244358
1.180228,45.450441
1.201614,47.121322
1.222999,48.822327
1.244385,50.553424
1.288756,54.241040
1.319873,56.904152
1.350989,59.630705
1.374821,61.761754
1.398652,63.929944
1.422483,66.135256
1.446315,68.377675
1.471091,70.748313
1.495867,73.159053
1.520643,75.609911
1.545419,78.100911
1.570195,80.632089
1.619747,85.815162
1.669299,91.159592
1.706679,95.298294
1.744059,99.529423
1.772520,102.813238
1.800982,106.150928
1.829443,109.542612
1.857905,112.988401
1.886366,116.488395
1.917770,120.413133
1.949173,124.404065
1.980576,128.461265
2.011979,132.584785
2.043382,136.774647
2.074785,141.030850
2.103862,145.030908
2.132939,149.087782
2.162016,153.201419
2.191094,157.371753
2.220171,161.598712
2.249248,165.882219
2.254656,166.685174
2.260064,167.490081
2.265472,168.296941
2.270881,169.105754
2.281697,170.729235
2.292514,172.360520
2.303330,173.999607
2.314147,175.646493
2.334535,178.771883
2.354923,181.924960
2.375310,185.105717
2.395698,188.314152
2.416086,191.550269
2.452340,197.373046
2.488593,203.283478
2.515650,207.751815
2.542707,212.269119
2.569763,216.835463
2.592286,220.673998
2.614808,224.546603
2.637331,228.453313
2.659853,232.394159
2.682376,236.369166
2.717487,242.634078
2.752598,248.982083
2.779564,253.913938
2.806530,258.894772
2.833496,263.924546
2.860462,269.003208
2.887428,274.130699
2.914395,279.306961
2.945412,285.321179
2.976430,291.399768
3.007448,297.542669
3.038466,303.749844
3.069483,310.021287
3.100501,316.357011
3.131519,322.757053
3.162537,329.221459
3.193554,335.750279
3.224572,342.343554
3.255590,349.001312
3.286608,355.723552
3.317625,362.510245
3.348643,369.361336
3.379661,376.276749
3.410679,383.256395
3.441696,390.300177
3.472714,397.407996
3.516974,407.660969
3.547794,414.877445
3.578615,422.156918
3.609435,429.499360
3.640255,436.904757
3.671076,444.373098
3.701896,451.904369
3.738615,460.959128
3.767593,468.167885
3.796570,475.432111
3.825548,482.751718
3.854526,490.126610
3.883503,497.556684
3.912481,505.041835
3.953766,515.800923
3.984558,523.897956
4.015349,532.056811
4.020933,533.542932
4.026517,535.031082
4.032101,536.521262
4.037684,538.013470
4.043268,539.507706
4.054435,542.502261
4.065603,545.504923
4.076770,548.515688
4.087938,551.534552
4.119901,560.219761
4.151863,568.971159
4.177927,576.156119
4.203990,583.384902
4.230053,590.657412
4.256116,597.973547
4.282180,605.333204
4.308243,612.736274
4.334306,620.182653
4.360369,627.672237
4.386433,635.204926
4.412496,642.780625
4.438559,650.399240
4.464622,658.060677
4.490686,665.764844
4.516749,673.511643
4.546187,682.312580
4.575624,691.167679
4.605062,700.076854
4.634500,709.040030
4.663937,718.057109
4.693375,727.127980
4.722813,736.252542
4.752250,745.430710
4.781688,754.662404
4.815773,765.418220
4.842622,773.941035
4.869471,782.508157
4.896320,791.119518
4.923169,799.775047
4.950017,808.474668
4.976866,817.218305
5.003715,826.005880
5.030564,834.837314
5.057413,843.712530
5.084262,852.631444
5.111111,861.593968
5.137960,870.600006
5.164809,879.649461
5.191658,888.742235
5.218507,897.878230
5.245356,907.057346
5.272205,916.279479
5.303626,927.126692
5.335048,938.032506
5.366469,948.996746
5.397891,960.019240
5.429312,971.099819
5.460734,982.238312
5.492155,993.434557
5.523577,1004.688415
5.554998,1015.999766
5.586420,1027.368498
5.617841,1038.794496
5.649263,1050.277645
5.680684,1061.817825
5.712106,1073.414920
5.743527,1085.068814
5.774949,1096.779393
5.806370,1108.546544
5.837792,1120.370154
5.869214,1132.250111
5.900635,1144.186309
5.935984,1157.681350
5.971332,1171.247280
6.006680,1184.883951
6.042029,1198.591213
6.077377,1212.368920
6.112726,1226.216924
6.148074,1240.135076
6.183423,1254.123225
6.222726,1269.758427
6.262030,1285.479763
6.301333,1301.287021
6.307175,1303.644005
6.313018,1306.002881
6.318860,1308.363651
6.324702,1310.726312
6.336387,1315.457305
6.348071,1320.195858
6.359756,1324.941964
6.386198,1335.710457
6.412640,1346.517550
6.439083,1357.363178
6.465525,1368.247277
6.496514,1381.051776
6.527504,1393.908923
6.558493,1406.818616
6.589482,1419.780752
6.620471,1432.795233
6.651461,1445.861960
6.682450,1458.980833
6.713439,1472.151754
6.744428,1485.374624
6.775417,1498.649342
6.806407,1511.975804
6.840660,1526.766238
6.874914,1541.619642
6.909168,1556.535894
6.938071,1569.170970
6.938118,1569.191508
6.938165,1569.212046
6.938212,1569.232584
6.938259,1569.253122
6.938306,1569.273660
6.938314,1569.277439
6.938323,1569.281218
6.938336,1569.286949
6.938349,1569.292680
6.938480,1569.349986
6.938611,1569.407291
6.939919,1569.980263
6.941228,1570.553154
6.954314,1576.278025
6.967399,1581.994824
6.980485,1587.703569
6.996806,1594.812243
7.013126,1601.908464
7.029447,1608.992269
7.037587,1612.520850
7.045727,1616.046353
7.053867,1619.568785
7.082739,1632.037615
7.111611,1644.468073
7.140483,1656.860371
7.160870,1665.587560
7.181256,1674.295887
7.201642,1682.985420
7.228823,1694.542074
7.256004,1706.065605
7.283185,1717.556168
7.312442,1729.887654
7.359718,1749.734373
7.394374,1764.220754
7.429030,1778.654856
7.463686,1793.036995
7.498341,1807.367485
7.532997,1821.646650
7.567653,1835.874756
7.602309,1850.052130
7.636964,1864.179068
7.671620,1878.255852
7.718735,1897.313456
7.751599,1910.552444
7.784462,1923.747181
7.817326,1936.897916
7.856139,1952.373161
7.894953,1967.787776
7.933766,1983.142129
7.972579,1998.436595
8.011393,2013.671536
8.050206,2028.847349
8.102818,2049.324730
8.155430,2069.695081
8.208042,2089.959261
8.267643,2112.788177
8.327244,2135.483253
8.386845,2158.045733
8.462969,2186.672701
8.539093,2215.088080
8.615217,2243.294374
8.691184,2271.236516
8.729746,2285.342386
8.761173,2296.799719
8.792601,2308.222654
8.824028,2319.611353
8.860963,2332.952552
8.890517,2343.593704
8.920071,2354.205018
8.949624,2364.786631
8.986538,2377.961972
9.023452,2391.091430
9.060366,2404.175293
9.097280,2417.213824
9.134193,2430.207257
9.171107,2443.155833
9.208021,2456.059779
9.241429,2467.700101
9.274838,2479.304261
9.308246,2490.872427
9.341654,2502.404773
9.375063,2513.901475
9.408471,2525.362728
9.441880,2536.788721
9.475288,2548.179640
9.508696,2559.535679
9.552245,2574.286351
9.595793,2588.978483
9.639341,2603.612460
9.682889,2618.188680
9.726437,2632.707530
9.769985,2647.169399
9.820782,2663.967016
9.871579,2680.688240
9.922376,2697.333658
9.981211,2716.519132
10.040045,2735.604787
10.098880,2754.591611
10.157715,2773.480598
10.216550,2792.272732
10.275384,2810.968982
10.314581,2823.371711
10.345416,2833.099523
10.376252,2842.801554
10.407088,2852.477946
10.444924,2864.316408
10.482761,2876.116684
10.520598,2887.879026
10.558435,2899.603649
10.601368,2912.862207
10.637048,2923.843952
10.672727,2934.792637
10.708407,2945.708403
10.744086,2956.591388
10.786858,2969.594770
10.829630,2982.551483
10.865062,2993.249519
10.900494,3003.915827
10.935925,3014.550540
10.971357,3025.153791
11.016885,3038.732412
11.053778,3049.697896
11.090672,3060.629699
11.127565,3071.527958
11.164458,3082.392814
11.215220,3097.287809
11.256394,3109.323101
11.297567,3121.317382
11.338740,3133.270826
11.379914,3145.183611
11.431343,3160.007016
11.482773,3174.767594
11.493059,3177.712200
11.503345,3180.654309
11.513631,3183.593924
11.534203,3189.465686
11.554774,3195.327505
11.575346,3201.179397
11.611918,3211.558339
11.648491,3221.906093
11.685063,3232.222777
11.730219,3244.918167
11.775375,3257.566575
11.820531,3270.168215
11.884498,3287.939969
11.935763,3302.115627
11.987029,3316.232166
12.038294,3330.290080
12.089559,3344.289897
12.150373,3360.822778
12.199753,3374.187983
12.249133,3387.500658
12.256964,3389.607126
12.264795,3391.712283
12.272626,3393.816133
12.288288,3398.019916
12.303951,3402.218485
12.319613,3406.411850
12.350631,3414.701278
12.381650,3422.970420
12.412668,3431.219364
12.443687,3439.448199
12.479070,3448.810593
12.514454,3458.147073
12.549837,3467.457767
12.585221,3476.742798
12.620604,3486.002284
