# Time (s), X (m), Y (m), Z (m), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Latitude (°), Longitude (°), Altitude AGL (m), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), acceleration Magnitude (m/s²), Reynolds Number, Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Aerodynamic Bending Moment (Nm), Aerodynamic Spin Moment (Nm), Thrust Power (W), Drag Power (W), Stability Margin (c)
0.000000,0.000000,0.000000,191.000000,0.349727,0.021703,0.047624,-0.935389,0.000000,0.000000,0.000000,39.232465,-8.172108,0.000000,-1.613474,-0.825223,0.000000,0.000000,15145.937966,0.352225,0.011589,0.308053,0.000000,0.000000,0.000000,5.543889
0.150000,0.000000,0.000000,191.000000,0.349727,0.021703,0.047624,-0.935389,0.000000,0.000000,-0.000000,39.232465,-8.172108,0.000000,-1.613474,-0.825223,0.000000,-0.000000,15145.937966,0.352225,0.017225,0.308053,0.000000,0.000000,0.000000,5.547066
0.154748,-0.000000,-0.000000,191.000001,0.349727,0.021703,0.047624,-0.935389,0.000000,0.000000,-0.000000,39.232465,-8.172108,0.000001,-1.613474,-0.825223,0.000126,0.026555,15145.881146,0.352207,0.017225,0.308038,0.000000,0.030419,-0.000002,5.547173
0.159495,-0.000000,-0.000001,191.000009,0.349727,0.021703,0.047624,-0.935389,-0.000000,0.000000,-0.000000,39.232465,-8.172108,0.000009,-1.613474,-0.825223,0.001682,0.327734,15145.185935,0.351989,0.017224,0.307846,0.000000,0.418291,-0.000029,5.547279
0.166615,-0.000000,-0.000004,191.000034,0.349727,0.021703,0.047624,-0.935389,0.000000,-0.000000,0.000000,39.232465,-8.172108,0.000034,-1.613474,-0.825223,0.005624,0.779615,15143.474571,0.351438,0.017220,0.307362,0.000000,1.461039,-0.000097,5.547440
0.173735,-0.000001,-0.000010,191.000100,0.349727,0.021703,0.047624,-0.935389,0.000000,0.000000,0.000000,39.232465,-8.172108,0.000100,-1.613474,-0.825223,0.012784,1.231760,15140.549340,0.350445,0.017213,0.306492,0.000000,3.463076,-0.000220,5.547602
0.180854,-0.000002,-0.000024,191.000227,0.349727,0.021703,0.047624,-0.935389,0.000000,-0.000000,0.000000,39.232465,-8.172108,0.000227,-1.613475,-0.825223,0.023164,1.684168,15136.728391,0.349027,0.017204,0.305247,-0.000000,6.532107,-0.000399,5.547765
0.252051,-0.000072,-0.001031,191.009829,0.349727,0.021703,0.047624,-0.935389,0.000000,-0.000000,-0.000000,39.232465,-8.172108,0.009829,-1.613499,-0.825234,0.304475,6.222759,15222.378074,0.319033,0.017400,0.278949,-0.000000,119.658314,-0.005298,5.549436
0.323248,-0.000373,-0.005338,191.050909,0.349727,0.021703,0.047624,-0.935389,0.000000,0.000000,0.000000,39.232465,-8.172108,0.050909,-1.613602,-0.825281,0.909869,10.787794,16577.810777,0.298413,0.020636,0.260998,0.000000,458.582148,-0.018776,5.551192
0.394445,-0.001073,-0.015348,191.146384,0.349727,0.021703,0.047624,-0.935389,-0.000000,-0.000000,0.000000,39.232465,-8.172108,0.146384,-1.613842,-0.825391,1.841222,15.379305,21002.842674,0.335376,0.031868,0.293683,-0.000000,1132.387461,-0.058676,5.553043
