Scalar,Scalar
0.000000,39.123680
0.011266,39.123680
0.022532,39.123680
0.045064,39.123680
0.067595,39.123680
0.090127,39.123680
0.315445,39.123680
0.540763,39.123679
0.766081,39.123678
0.991399,39.123676
1.310039,39.123673
1.315378,39.123673
1.320717,39.123673
1.331394,39.123673
1.342072,39.123673
1.352750,39.123672
1.423832,39.123672
1.494915,39.123671
1.565997,39.123670
1.670502,39.123668
1.775006,39.123666
1.879510,39.123664
1.984015,39.123662
2.030148,39.123662
2.076281,39.123661
2.122415,39.123660
2.208679,39.123658
2.294942,39.123656
2.381206,39.123654
2.467470,39.123652
2.513228,39.123651
2.558986,39.123649
2.604744,39.123648
2.650502,39.123647
2.781952,39.123644
2.913402,39.123640
3.044852,39.123637
3.176302,39.123634
3.307752,39.123631
3.439202,39.123628
3.570653,39.123625
3.702103,39.123622
3.868239,39.123618
4.034375,39.123615
4.151213,39.123613
4.268051,39.123610
4.384889,39.123608
4.501727,39.123606
4.618565,39.123604
4.735403,39.123602
4.852241,39.123600
4.969079,39.123598
5.085917,39.123596
5.202755,39.123594
5.319593,39.123591
5.362752,39.123591
5.405912,39.123590
5.449071,39.123589
5.492230,39.123588
5.523604,39.123588
5.554978,39.123587
5.586353,39.123587
5.617727,39.123586
5.633415,39.123586
5.649104,39.123586
5.664793,39.123585
5.723192,39.123584
5.781592,39.123583
5.839991,39.123582
5.898391,39.123582
5.973488,39.123580
6.048585,39.123579
6.123683,39.123578
6.198780,39.123577
6.273877,39.123576
6.311229,39.123576
6.348580,39.123575
6.385931,39.123575
6.423283,39.123574
6.447078,39.123574
6.470873,39.123573
6.494669,39.123573
6.559670,39.123572
6.611288,39.123572
6.662906,39.123571
6.714524,39.123570
6.766141,39.123570
6.826625,39.123569
6.887109,39.123568
6.947593,39.123568
7.008077,39.123567
7.068561,39.123566
7.106426,39.123566
7.144290,39.123565
7.182155,39.123565
7.220020,39.123565
7.257885,39.123564
7.329013,39.123564
7.374733,39.123563
7.420453,39.123563
7.456655,39.123562
7.492857,39.123562
7.529059,39.123562
7.565262,39.123561
7.607004,39.123561
7.648747,39.123561
7.690489,39.123560
7.732232,39.123560
7.773974,39.123560
7.826919,39.123559
7.879865,39.123559
7.932810,39.123558
7.985755,39.123558
8.038701,39.123558
8.104292,39.123557
8.169883,39.123557
8.235474,39.123556
8.289577,39.123556
8.343680,39.123556
8.397782,39.123556
8.451885,39.123555
8.505988,39.123555
8.560091,39.123555
8.619905,39.123555
8.679719,39.123554
8.739534,39.123554
8.799348,39.123554
8.859163,39.123554
8.918977,39.123554
8.978792,39.123554
9.038606,39.123553
9.098421,39.123553
9.158235,39.123553
9.218050,39.123553
9.277864,39.123553
9.345706,39.123553
9.413548,39.123553
9.481390,39.123553
9.549231,39.123553
9.617073,39.123553
9.630642,39.123553
9.644210,39.123553
9.657778,39.123553
9.671347,39.123553
9.684915,39.123553
9.712052,39.123553
9.739189,39.123553
9.766325,39.123553
9.793462,39.123553
9.844168,39.123554
9.883055,39.123554
9.921941,39.123554
9.960828,39.123554
9.992239,39.123554
10.023650,39.123554
10.055062,39.123554
10.086473,39.123554
10.135680,39.123554
10.184888,39.123555
10.225474,39.123555
10.266060,39.123555
10.306647,39.123555
10.347233,39.123555
10.387820,39.123556
10.458635,39.123556
10.529451,39.123556
10.583998,39.123557
10.638545,39.123557
10.693091,39.123557
10.747638,39.123558
10.802185,39.123558
10.856731,39.123559
10.923677,39.123559
10.990622,39.123560
11.057568,39.123560
11.110604,39.123561
11.163640,39.123561
11.216676,39.123562
11.269713,39.123562
11.322749,39.123563
11.375785,39.123563
11.439506,39.123564
11.448693,39.123564
11.457880,39.123564
11.467067,39.123565
11.476254,39.123565
11.485441,39.123565
11.503815,39.123565
11.522189,39.123565
11.540563,39.123565
11.558937,39.123566
11.597292,39.123566
11.635646,39.123566
11.674001,39.123567
11.712355,39.123567
11.750710,39.123568
11.797588,39.123569
11.834101,39.123569
11.870613,39.123569
11.907125,39.123570
11.943638,39.123570
11.988233,39.123571
12.032827,39.123572
12.077422,39.123572
12.122017,39.123573
12.166612,39.123574
12.211207,39.123574
12.255802,39.123575
12.300396,39.123576
12.353000,39.123577
12.405604,39.123578
12.458207,39.123578
12.510811,39.123579
12.563415,39.123580
12.616018,39.123581
12.697226,39.123583
12.761801,39.123584
12.826376,39.123585
12.876338,39.123586
12.926299,39.123587
12.976261,39.123588
13.026223,39.123589
13.076184,39.123590
13.126146,39.123591
13.190394,39.123592
13.242135,39.123593
13.293876,39.123594
13.345617,39.123596
13.397357,39.123597
13.449098,39.123598
13.500839,39.123599
13.561417,39.123600
13.621995,39.123602
13.682574,39.123603
13.743152,39.123605
13.803730,39.123606
13.864308,39.123608
13.933274,39.123609
13.990739,39.123611
14.048204,39.123612
14.105668,39.123614
14.151976,39.123615
14.198283,39.123616
14.244590,39.123617
14.290897,39.123619
14.337204,39.123620
14.383511,39.123621
14.447877,39.123623
14.512242,39.123625
14.576608,39.123627
14.629206,39.123628
14.681804,39.123630
14.734402,39.123631
14.787000,39.123633
14.839597,39.123634
14.892195,39.123636
14.944793,39.123638
14.997391,39.123639
15.049989,39.123641
15.102587,39.123642
15.155185,39.123644
15.207783,39.123646
15.271369,39.123648
15.323587,39.123650
