Scalar,Scalar
0.000000,-8.033330
0.005003,-8.033330
0.010005,-8.033330
0.020010,-8.033330
0.030015,-8.033330
0.040021,-8.033330
0.140072,-8.033329
0.240124,-8.033328
0.340176,-8.033327
0.440227,-8.033324
0.582487,-8.033320
0.584652,-8.033320
0.586818,-8.033320
0.591149,-8.033320
0.595480,-8.033320
0.599811,-8.033320
0.629685,-8.033319
0.659559,-8.033317
0.689433,-8.033316
0.719307,-8.033315
0.764984,-8.033313
0.810662,-8.033311
0.856339,-8.033308
0.902017,-8.033306
0.957659,-8.033303
1.013301,-8.033299
1.068944,-8.033296
1.124586,-8.033292
1.180228,-8.033287
1.201614,-8.033286
1.222999,-8.033284
1.244385,-8.033282
1.288756,-8.033278
1.319873,-8.033276
1.350989,-8.033273
1.374821,-8.033270
1.398652,-8.033268
1.422483,-8.033266
1.446315,-8.033263
1.471091,-8.033260
1.495867,-8.033258
1.520643,-8.033255
1.545419,-8.033252
1.570195,-8.033249
1.619747,-8.033243
1.669299,-8.033237
1.706679,-8.033232
1.744059,-8.033227
1.772520,-8.033223
1.800982,-8.033219
1.829443,-8.033215
1.857905,-8.033210
1.886366,-8.033206
1.917770,-8.033201
1.949173,-8.033196
1.980576,-8.033191
2.011979,-8.033186
2.043382,-8.033181
2.074785,-8.033176
2.103862,-8.033171
2.132939,-8.033165
2.162016,-8.033160
2.191094,-8.033155
2.220171,-8.033150
2.249248,-8.033144
2.254656,-8.033143
2.260064,-8.033142
2.265472,-8.033141
2.270881,-8.033140
2.281697,-8.033138
2.292514,-8.033136
2.303330,-8.033134
2.314147,-8.033132
2.334535,-8.033128
2.354923,-8.033123
2.375310,-8.033119
2.395698,-8.033115
2.416086,-8.033111
2.452340,-8.033103
2.488593,-8.033096
2.515650,-8.033090
2.542707,-8.033084
2.569763,-8.033078
2.592286,-8.033072
2.614808,-8.033067
2.637331,-8.033062
2.659853,-8.033057
2.682376,-8.033051
2.717487,-8.033043
2.752598,-8.033034
2.779564,-8.033028
2.806530,-8.033021
2.833496,-8.033014
2.860462,-8.033007
2.887428,-8.033000
2.914395,-8.032993
2.945412,-8.032985
2.976430,-8.032977
3.007448,-8.032968
3.038466,-8.032960
3.069483,-8.032951
3.100501,-8.032942
3.131519,-8.032933
3.162537,-8.032925
3.193554,-8.032915
3.224572,-8.032906
3.255590,-8.032897
3.286608,-8.032887
3.317625,-8.032878
3.348643,-8.032868
3.379661,-8.032859
3.410679,-8.032849
3.441696,-8.032839
3.472714,-8.032829
3.516974,-8.032814
3.547794,-8.032804
3.578615,-8.032793
3.609435,-8.032783
3.640255,-8.032772
3.671076,-8.032762
3.701896,-8.032751
3.738615,-8.032738
3.767593,-8.032727
3.796570,-8.032717
3.825548,-8.032706
3.854526,-8.032696
3.883503,-8.032685
3.912481,-8.032674
3.953766,-8.032658
3.984558,-8.032647
4.015349,-8.032635
4.020933,-8.032633
4.026517,-8.032630
4.032101,-8.032628
4.037684,-8.032626
4.043268,-8.032624
4.054435,-8.032620
4.065603,-8.032615
4.076770,-8.032611
4.087938,-8.032606
4.119901,-8.032594
4.151863,-8.032581
4.177927,-8.032570
4.203990,-8.032560
4.230053,-8.032549
4.256116,-8.032538
4.282180,-8.032527
4.308243,-8.032516
4.334306,-8.032505
4.360369,-8.032494
4.386433,-8.032483
4.412496,-8.032472
4.438559,-8.032460
4.464622,-8.032449
4.490686,-8.032438
4.516749,-8.032426
4.546187,-8.032413
4.575624,-8.032400
4.605062,-8.032386
4.634500,-8.032373
4.663937,-8.032359
4.693375,-8.032346
4.722813,-8.032332
4.752250,-8.032318
4.781688,-8.032304
4.815773,-8.032288
4.842622,-8.032275
4.869471,-8.032262
4.896320,-8.032249
4.923169,-8.032236
4.950017,-8.032223
4.976866,-8.032210
5.003715,-8.032196
5.030564,-8.032183
5.057413,-8.032170
5.084262,-8.032156
5.111111,-8.032142
5.137960,-8.032129
5.164809,-8.032115
5.191658,-8.032101
5.218507,-8.032087
5.245356,-8.032073
5.272205,-8.032059
5.303626,-8.032042
5.335048,-8.032025
5.366469,-8.032009
5.397891,-8.031992
5.429312,-8.031975
5.460734,-8.031957
5.492155,-8.031940
5.523577,-8.031923
5.554998,-8.031905
5.586420,-8.031888
5.617841,-8.031870
5.649263,-8.031852
5.680684,-8.031835
5.712106,-8.031817
5.743527,-8.031798
5.774949,-8.031780
5.806370,-8.031762
5.837792,-8.031744
5.869214,-8.031725
5.900635,-8.031706
5.935984,-8.031685
5.971332,-8.031664
6.006680,-8.031643
6.042029,-8.031622
6.077377,-8.031600
6.112726,-8.031578
6.148074,-8.031556
6.183423,-8.031535
6.222726,-8.031510
6.262030,-8.031485
6.301333,-8.031460
6.307175,-8.031457
6.313018,-8.031453
6.318860,-8.031449
6.324702,-8.031446
6.336387,-8.031438
6.348071,-8.031431
6.359756,-8.031423
6.386198,-8.031406
6.412640,-8.031389
6.439083,-8.031372
6.465525,-8.031355
6.496514,-8.031335
6.527504,-8.031314
6.558493,-8.031294
6.589482,-8.031273
6.620471,-8.031253
6.651461,-8.031232
6.682450,-8.031211
6.713439,-8.031190
6.744428,-8.031169
6.775417,-8.031148
6.806407,-8.031127
6.840660,-8.031103
6.874914,-8.031080
6.909168,-8.031056
6.938071,-8.031036
6.938118,-8.031036
6.938165,-8.031036
6.938212,-8.031036
6.938259,-8.031036
6.938306,-8.031036
6.938314,-8.031036
6.938323,-8.031036
6.938336,-8.031036
6.938349,-8.031036
6.938480,-8.031036
6.938611,-8.031035
6.939919,-8.031035
6.941228,-8.031034
6.954314,-8.031025
6.967399,-8.031015
6.980485,-8.031006
6.996806,-8.030995
7.013126,-8.030984
7.029447,-8.030972
7.037587,-8.030967
7.045727,-8.030961
