height,pressure,temperature,wind_u,wind_v
245.0,100000.0,286.65,2.3999999,-0.60000044
353.0,98728.03125,286.176,2.3999999,-0.60000044
433.0,97788.0078125,285.176,3.1999998,-0.80000067
458.0,97500.0,284.88528,3.5233152,-0.93264604
473.0,97320.4140625,284.776,3.9999988,-1.2000046
533.0,96623.75,284.676,4.899997,-1.8000079
675.0,95000.0,283.96817,4.5161266,-3.118284
897.3131103515625,92500.0,282.65155,4.747853,-3.2247908
1124.5789794921875,90000.0,281.33496,4.979582,-3.3312955
1595.0,85000.0,278.70172,5.443038,-3.544304
