height,pressure,temperature,wind_u,wind_v
241.0,100000.0,286.85,2.2000003,-0.099997945
353.0,98683.515625,286.41498,2.2000003,-0.099997945
433.0,97744.21875,285.115,3.1000001,-0.19999613
453.757568359375,97500.0,285.67422,3.5193543,-1.447852
473.0,97277.1875,284.815,4.8000007,-0.79999393
533.0,96581.5625,284.815,5.099998,-2.1000047
671.0,95000.0,284.49847,4.8387146,-2.7956917
894.0,92500.0,283.54062,4.3575454,-3.687146
1122.0,90000.0,281.95645,4.4186006,-3.1395402
1592.0,85000.0,278.70172,5.316461,-2.911382
