height,pressure,temperature,wind_u,wind_v
233.0,100000.0,298.15,-1.1999998,-0.30000058
356.0,98655.59375,298.6455,-1.1999995,-0.4000018
436.0,97752.8828125,295.99548,-1.4000001,-0.29999962
452.6108093261719,97500.0,295.88483,-1.2989248,-0.31129056
476.0,97302.828125,295.1955,-1.4000001,-0.29999962
536.0,96630.703125,294.3955,-1.4000001,-0.29999962
677.0,95000.0,293.6197,-1.3978497,-0.3225806
906.0,92500.0,291.30624,-1.3407823,-0.22346199
1140.0,90000.0,288.95645,-1.2790699,-0.23255679
1621.0,85000.0,284.6155,-2.6582294,-1.6455672
