# Time (s),X (m),Y (m),Z (m),e0,e1,e2,e3,ω1 (rad/s),ω2 (rad/s),ω3 (rad/s),Latitude (°),Longitude (°),Altitude AGL (m),Wind Velocity X (East) (m/s),Wind Velocity Y (North) (m/s),Speed - Velocity Magnitude (m/s),acceleration Magnitude (m/s²),Reynolds Number,Aerodynamic Lift Force (N),Aerodynamic Drag Force (N),Aerodynamic Bending Moment (Nm),Aerodynamic Spin Moment (Nm),Thrust Power (W),Drag Power (W),Stability Margin (c)
0.000000,0.000000,0.000000,191.000000,0.349727,0.021703,0.047624,-0.935389,0.000000,0.000000,0.000000,39.232465,-8.172108,0.000000,-1.613474,-0.825223,0.000000,75.513028,15145.937966,0.352225,0.011589,0.308057,0.000000,0.000000,0.000000,5.543940
0.004703,-0.000012,-0.000174,191.001659,0.349727,0.021703,0.047624,-0.935389,-0.000000,0.000000,-0.000000,39.232465,-8.172108,0.001659,-1.613478,-0.825224,0.354623,75.399529,15275.429954,0.315248,0.017521,0.275639,0.000000,751.363982,-0.006213,5.544037
0.009406,-0.000036,-0.000521,191.004974,0.349727,0.021703,0.047624,-0.935389,0.000000,-0.000000,-0.000000,39.232465,-8.172108,0.004974,-1.613487,-0.825228,0.708711,75.285934,15962.492506,0.299814,0.019133,0.262176,-0.000000,1499.307151,-0.013560,5.544135
0.018813,-0.000109,-0.001563,191.014911,0.349727,0.021703,0.047624,-0.935389,-0.000000,0.000000,-0.000000,39.232465,-8.172108,0.014911,-1.613512,-0.825240,1.415818,75.058473,18710.291145,0.311489,0.025879,0.272618,0.000000,2986.075872,-0.036640,5.544336
0.028219,-0.000231,-0.003298,191.031454,0.349727,0.021703,0.047624,-0.935389,0.000000,-0.000000,0.000000,39.232465,-8.172108,0.031454,-1.613553,-0.825259,2.120784,74.830669,22684.665961,0.355113,0.036799,0.311069,0.000000,4459.207823,-0.078042,5.544544
0.037626,-0.000400,-0.005723,191.054581,0.349727,0.021703,0.047624,-0.935389,0.000000,0.000000,-0.000000,39.232465,-8.172108,0.054581,-1.613611,-0.825285,2.823605,74.602535,27344.532193,0.414492,0.051608,0.363303,0.000000,5918.737866,-0.145720,5.544760
0.131691,-0.004719,-0.067489,191.643686,0.349727,0.021703,0.047624,-0.935389,-0.000000,-0.000000,0.000000,39.232464,-8.172108,0.643686,-1.615090,-0.825965,9.733252,72.304129,81934.461781,1.180540,0.383946,1.036067,0.000000,19773.805415,-3.737045,5.547337
0.144398,-0.005664,-0.080993,191.772482,0.349727,0.021703,0.047624,-0.935389,0.000000,0.000000,0.000000,39.232464,-8.172108,0.772482,-1.615413,-0.826113,10.650036,71.991390,89475.045293,1.288266,0.451103,1.130657,-0.000000,21543.390820,-4.804265,5.547745
0.157105,-0.006693,-0.095710,191.912847,0.349727,0.021703,0.047624,-0.935389,0.000000,0.000000,0.000000,39.232464,-8.172108,0.912847,-1.615765,-0.826275,11.564205,71.892560,97012.707115,1.396116,0.524092,1.225360,0.000000,23353.059473,-6.060704,5.548165
0.169812,-0.007807,-0.111639,192.064764,0.349727,0.021703,0.047624,-0.935389,-0.000000,-0.000000,0.000000,39.232464,-8.172108,1.064764,-1.616146,-0.826450,12.478191,71.962656,104563.338435,1.504302,0.601048,1.320364,-0.000000,25208.300857,-7.499996,5.548600
0.193014,-0.010059,-0.143849,192.371975,0.349727,0.021703,0.047624,-0.935389,0.000000,-0.000000,0.000000,39.232464,-8.172108,1.371975,-1.616917,-0.826804,14.148835,72.090096,118392.948793,1.702819,0.759836,1.494704,-0.000000,28603.014430,-10.750793,5.549430
0.216217,-0.012594,-0.180105,192.717773,0.349727,0.021703,0.047624,-0.935389,-0.000000,0.000000,0.000000,39.232463,-8.172108,1.717773,-1.617785,-0.827203,15.822977,72.217258,132277.898580,1.902585,0.931483,1.670165,0.000000,32009.455247,-14.738832,5.550307
0.239419,-0.015413,-0.220416,193.102238,0.349727,0.021703,0.047624,-0.935389,-0.000000,-0.000000,-0.000000,39.232463,-8.172108,2.102238,-1.618750,-0.827646,17.500064,72.343957,146205.846592,2.103426,1.120496,1.846597,-0.000000,35426.520021,-19.608753,5.551231
0.262622,-0.018516,-0.264787,193.525435,0.349727,0.021703,0.047624,-0.935389,-0.000000,-0.000000,-0.000000,39.232463,-8.172108,2.525435,-1.619812,-0.828134,19.180086,72.470280,160171.570019,2.305283,1.324699,2.023952,0.000000,38854.200296,-25.407846,5.552202
0.412957,-0.045538,-0.651217,197.211042,0.349727,0.021703,0.047624,-0.935389,0.000000,-0.000000,0.000000,39.232459,-8.172109,6.211042,-1.629062,-0.832383,30.143536,73.400626,251461.637583,3.638156,3.065456,3.196050,-0.000000,61426.184292,-92.403689,5.559669
0.504583,-0.067930,-0.971441,200.265212,0.349727,0.021703,0.047624,-0.935389,-0.000000,0.000000,-0.000000,39.232456,-8.172109,9.265212,-1.636728,-0.835904,36.897795,74.043890,307741.441591,4.474043,4.468921,3.932258,0.000000,75536.650811,-164.893349,5.565242
0.508124,-0.068892,-0.985178,200.396098,0.349728,0.021702,0.047624,-0.935389,-0.000195,-0.000771,0.000000,39.232456,-8.172109,9.396098,-1.637056,-0.836055,37.160119,74.076146,309926.151452,4.498824,4.528453,3.950164,-0.000000,76088.591511,-168.277847,5.565473
0.511666,-0.069864,-0.999025,200.527907,0.349728,0.021699,0.047623,-0.935389,-0.000392,-0.001546,0.000000,39.232456,-8.172109,9.527907,-1.637387,-0.836207,37.422536,74.102422,312111.633803,4.523261,4.588339,3.967694,-0.000000,76640.934232,-171.707269,5.565705
0.518749,-0.071826,-1.026941,200.793372,0.349728,0.021691,0.047622,-0.935389,-0.000790,-0.003102,0.000000,39.232456,-8.172109,9.793372,-1.638053,-0.836513,37.947557,74.155062,316484.156967,4.571322,4.709149,4.001840,-0.000000,77746.636120,-178.700692,5.566174
0.525833,-0.073826,-1.055299,201.062530,0.349729,0.021677,0.047621,-0.935389,-0.001198,-0.004670,0.000000,39.232456,-8.172109,10.062530,-1.638729,-0.836824,38.472953,74.207585,320859.758252,4.617894,4.831365,4.034384,-0.000000,78853.947653,-185.876873,5.566647
