date,thrust
0,2122
0.15,2019
0.3,2028
0.45,2041
0.6,2058
0.75,2064
0.9,2085
1.05,2107
1.2,2086
1.35,2120
1.5,2123
1.65,2121
1.8,2144
1.95,2143
2.1,2155
2.25,2164
2.4,2179
2.55,2173
2.7,2158
2.85,2171
3,2172
3.15,2182
3.3,2170
3.45,2157
3.6,2117
3.75,2143
3.9,2115
4.05,2089
4.2,2084
4.35,2075
4.5,2070
4.65,2046
4.8,2053
4.95,2037
5.1,2023
5.25,2010
5.4,1989
5.55,1967
5.7,1956
5.85,1926
6,1915
6.15,1917
6.3,1896
6.45,1844
6.6,1806
6.75,1758
6.9,1752
7.05,1730
7.2,1735
7.35,1727
7.5,1715
7.65,1697
7.8,1686
7.95,1713
8.1,1678
8.25,1655
8.4,1638
8.55,1634
8.7,1619
8.85,1583
9,1549
9.15,1310
9.3,968
