date,thrust
0,2022
0.15,1919
0.3,1928
0.45,1941
0.6,1958
0.75,1964
0.9,1985
1.05,2007
1.2,1986
1.35,2020
1.5,2023
1.65,2021
1.8,2044
1.95,2043
2.1,2055
2.25,2064
2.4,2079
2.55,2073
2.7,2058
2.85,2071
3,2072
3.15,2082
3.3,2070
3.45,2057
3.6,2017
3.75,2043
3.9,2015
4.05,1989
4.2,1984
4.35,1975
4.5,1970
4.65,1946
4.8,1953
4.95,1937
5.1,1923
5.25,1910
5.4,1889
5.55,1867
5.7,1856
5.85,1826
6,1815
6.15,1817
6.3,1796
6.45,1744
6.6,1706
6.75,1658
6.9,1652
7.05,1630
7.2,1635
7.35,1627
7.5,1615
7.65,1597
7.8,1586
7.95,1613
8.1,1578
8.25,1555
8.4,1538
8.55,1534
8.7,1519
8.85,1483
9,1449
9.15,1210
9.3,868
