date,thrust
0.00,948.49
0.10,1308.06
0.20,1469.20
0.30,1243.56
0.40,1350.70
0.50,1374.06
0.60,1323.92
0.70,1506.70
0.80,1366.34
0.90,1525.77
1.00,1485.06
1.10,1537.77
1.20,1392.27
1.30,1582.99
1.40,1545.27
1.50,1275.49
1.60,1612.56
1.70,1150.77
1.80,1562.63
1.90,1727.20
2.00,1486.13
2.10,1739.42
2.20,1650.63
2.30,1534.85
2.40,1220.63
2.50,1476.92
2.60,1625.85
2.70,1310.63
2.80,1596.06
2.90,1664.85
3.00,1375.77
3.10,1593.27
3.20,1613.42
3.30,1562.42
3.40,1552.13
3.50,1499.20
3.60,1479.06
3.70,1620.92
3.80,1601.42
3.90,1617.06
4.00,1694.20
4.10,1679.85
4.20,1567.13
4.30,1608.49
4.40,1623.06
4.50,1636.35
4.60,1407.27
4.70,1499.20
4.80,1654.35
4.90,1512.70
5.00,1539.92
5.10,1509.70
5.20,1610.85
5.30,1427.63
5.40,1557.30
5.50,1523.94
5.60,1403.84
5.70,1426.13
5.80,1567.13
5.90,1648.13
6.00,1454.63
6.10,1457.20
6.20,1585.56
6.30,1598.42
6.40,1474.13
6.50,1444.34
6.60,1687.13
6.70,1491.34
6.80,1499.20
6.90,1464.27
7.00,1462.13
7.10,1473.27
7.20,1534.56
7.30,1481.63
7.40,1375.99
7.50,1417.56
7.60,1318.99
7.70,1432.13
7.80,1344.27
7.90,1320.70
8.00,1192.77
8.10,1035.91
8.20,634.98
8.30,338.20
8.40,104.20
8.50,166.98
8.60,102.27
8.70,100.12
8.80,167.62
8.90,225.91
9.00,165.70
9.10,83.20
9.20,94.34
9.30,95.41
9.40,95.62
9.50,93.91
