date,thrust
0.00,1485.06
0.10,1537.77
0.20,1392.27
0.30,1582.99
0.40,1545.27
0.50,1275.49
0.60,1612.56
0.70,1150.77
0.80,1562.63
0.90,1727.20
1.00,1486.13
1.10,1739.42
1.20,1650.63
1.30,1534.85
1.40,1220.63
1.50,1476.92
1.60,1625.85
1.70,1310.63
1.80,1596.06
1.90,1664.85
2.00,1375.77
2.10,1593.27
2.20,1613.42
2.30,1562.42
2.40,1552.13
2.50,1499.20
2.60,1479.06
2.70,1620.92
2.80,1601.42
2.90,1617.06
3.00,1694.20
3.10,1679.85
3.20,1567.13
3.30,1608.49
3.40,1623.06
3.50,1636.35
3.60,1407.27
3.70,1499.20
3.80,1654.35
3.90,1512.70
4.00,1539.92
4.10,1509.70
4.20,1610.85
4.30,1427.63
4.40,1557.30
4.50,1523.94
4.60,1403.84
4.70,1426.13
4.80,1567.13
4.90,1648.13
5.00,1454.63
5.10,1457.20
5.20,1585.56
5.30,1598.42
5.40,1474.13
5.50,1444.34
5.60,1687.13
5.70,1491.34
5.80,1499.20
5.90,1464.27
6.00,1462.13
6.10,1473.27
6.20,1534.56
6.30,1481.63
6.40,1375.99
6.50,1417.56
6.60,1318.99
6.70,1432.13
6.80,1344.27
6.90,1320.70
7.00,1192.77
7.10,1035.91
7.20,634.98
7.30,338.20
7.40,104.20
7.50,166.98
7.60,102.27
7.70,100.12
7.80,167.62
7.90,225.91
8.00,165.70
8.10,83.20
8.20,94.34
8.30,95.41
8.40,95.62
8.50,93.91
